term,definition
3D,Trois dimensions (volumes)
AAA,Acte Auto-Agressif
AAB,Atteinte Aux Biens
AAE,Architectes associés pour l'environnement
AAEXA,Assurance accident des exploitants agricoles
AAF,Académie d'agriculture de France
AAH,Allocation aux adultes handicapés
AAI,Autorités administratives indépendantes
AAP,Administration d'affichage et de publicité.
AAP,Adjoint Administratif Principal
AAPC,Avis d'appel public à la concurrence
AAPPMA,Association agréée pour la pêche et la protection du milieu aquatique.
AASQUA,Association agréé de surveillance de la qualité de l'air
AASU,Attaché-d’Aministration-Scolaire et Universitaire
AAT,Avis d’arrêt de travail
AATF,Association des administrateurs territoriaux de France
AAVR,Association d'aide aux victimes de la route.
AB,Agriculture biologique.
ABF,Architecte des bâtiments de France.
ABF,Association des bibliothécaires français
ABS,Analyse Des Besoins Sociaux
AC,Administrateur civil.
AC,Allocation compensatrice
AC,Appellation contrôlée.
AC,Autorité de certification 
AC,Avoirs Criminels
ACA,Allocation Chômeur Agé
ACA,Association coopération et aménagement.
ACAATA,Allocation de cessation anticipée d'activité des travailleurs de l'amiante
ACBUS,Accord de bon usage des soins
ACCA,Associations communales de chasse agréées
ACCIMADA,ACCIdent de transport de MAtières DAngereuses
ACCITRAPU,ACCIdent de TRAnsport PUblic de personnes
ACCORD,"Application coordonée de comptabilisation, d’ordonnancement et de reglement de la dépense de l’État."
ACCR,Accident Corporel de la Circulation Routière
ACCRE,Aide aux chômeurs créateurs ou repreneurs d'entreprise
ACDN,Action des citoyens pour le désarmement nucléaire.
ACE,Action communautaire pour l'environnement
ACE,Aide au conseil aux entreprises
ACEMP,Association des commissaires enquêteurs de Midi Pyrénées
ACEP,Association communautaire pour l’emploi et le partage
ACES,Agence nationale pour la Cohésion Sociale et l’Égalité des chances
ACEV,Association des commissaires enquêteurs de la Vendée.
ACFCI,Assemblée des chambres françaises de commerce et d'industrie.
ACFP,Allocation Compensatrice pour Frais Professionnels
ACIDD,Association communication et information pour le développement durable
ACMO,Agent chargé de la mise en œuvre des règles d’hygiène et de sécurité
ACMP,Ancien Code des Marchés Publics (antérieur à 2001)
ACNAT,Action communautaire pour la conservation de la nature.
ACNSA,Association contre les nuisances sonores aériennes.
ACNUSA,Autorité de contrôle des nuisances portuaires et aéroportuaires.
ACNUSA,Autorité de contrôle des nuisances aéroportuaires
ACOFA,Agence centrale des organismes d'intervention dans le secteur agricole
ACOSS,Agence centrale des organismes de sécurité sociale
ACP,Agence centrale de presse
ACP,Association des Comptables Publics
ACP (pays),"Pays d'Afrique, des Caraïbes et du Pacifique"
ACPR,Autorité de contrôle prudentiel et de résolution
ACR,Action communautaire pour l'environnement.
ACS,Aide à La Complémentaire Santé
ACSE,Agence nationale pour la cohésion sociale et l'égalité des chances
ACSEL,Association pour le commerce et les services en ligne
ACT,Appartement de coordination Thérapeutique
ACT,Assistance pour la passation du Contrat de Travaux
ACTA,Association de coordination technique agricole
ACTED,Agence d'aide à la coopération technique et au développement
ACTES,Aide au contrôle de la légalité dématérialisée
ACTIA,Association de coordination technique des industries agricoles et alimentaires
ACTIF,Association pour la coordination des techniques d’information et de formation des personnels sanitaires et sociaux
ACTIM,"Agence pour la coopération technique, industrielle et économique"
ACTIMAF,ACTIvités MAFieuses
ACTP,Allocation compensatrice pour tierce personne
ACUCES,Association du centre universitaire de coopération économique et sociale
ACUF,Association des communautés urbaines de France.
ADA,Accès aux documents administratifs.
ADAE,Agence pour le Développement de l’Administration Electronique [dématérialisation des procédures]
ADALIS,Addictions Drogues Alcool Info Service
ADAPEI,Association départementale des associations et amis d’enfants inadaptés
ADAPT,Association Pour L’insertion Sociale Et Professionnelle Des Personnes Handicapées
ADAR,Agence de développement agricole et rural
ADASEA,Association départementale des associations de sauvegarde de l’enfance et de l’adolescence
ADASEA,Associations départementales pour l'aménagement des structures des exploitations agricoles
ADBS,Association des professionnels de l’information et de la documentation
ADCF,Assemblée des communautés de France.
ADCP,Association départementale de la protection civile
ADDE,Agence départementale de développement économique.
ADEC,Agence de développement économique.
ADELE,ADministration ELEtronique [dématérialisation des procédures]
ADEME,Agence de l'environnement et de la maîtrise de l'énergie
ADEME,Agence de la transition écologique
ADEP,Agence nationale pour le développement de l'éducation permanente
ADESM,Association des Directeurs d’Établissements de Santé Mentale
ADESSA,fédération d’employeur de l’aide à domicile regroupant depuis 2002 la FNADAR et la FNAFAD
ADETEF,Association pour le développement des échanges en technologie économique et financière
ADF,Assemblée des départements de France
ADFI,Association de Défense des Familles et des Individus
ADHAP,Services D’aide à Domicile
ADI,Agence pour le développement de l'informatique
ADIE,Association pour le développement de l’initiative économique
ADIL,Association départementale d'information sur le logement
ADIT,Agence pour la diffusion de l'information technologique
ADJA,Actualité Judiciaire Droit Administratif
ADM,Aide au diagnostic médical
ADM,Association départementale des maires.
ADMI,Actions des Médiateurs du livre
ADMR,Aide à Domicile En Milieu Rural
ADN,Acide Désoxyribonucléique
ADP,Aéroport de Paris
ADPA,Allocation Départementale Personnalisée à L’autonomie
ADPEP,Association Départementale Des Pupilles De L’enseignement Public
ADPF,Association pour la diffusion de la pensée française
ADPLG,Architecte diplômé par le gouvernement.
ADR,Aide au développement rural.
ADRAF,Agence de développement rural et d'aménagement foncier
ADS,Adjoint De Sécurité
ADS,Application du droit des sols.
ADSEA,Association Départementale de Sauvegarde de l’Enfance et de l’Adolescence
ADSL,Asynchronous digital suscriber line (ligne numérique à paires asymétriques)
ADSL,Application Demande et Suivi des Loiciels
ADSSEAD,Association De Services Spécialisés pour Enfants et Adolescents en Difficulté
ADT,Aménagement et développement du territoire.
ADTMP,Association Départementale De Tutelle Des Majeurs Protégés
AE,Acte d'Engagement ou formulaire DC3 (remplacé par ATTRI1)
AE,Autorisation d’engagement
AEB,Action éducative budgétaire
AED,Aide Educative à Domicile
AED,Automated External Defibrillator
AEE,Agence européenne pour l'environnement.
AEEH,Allocation d'éducation de l'enfant handicapé
AEEN,Agence européenne pour l'énergie nucléaire
AEF,Annuaire des entreprises de France.
AEFE,Agence pour l'enseignement français à l'étranger
AEG,Altération de l’État Général
AEG,Administration-Économie-Gestion
AEIM,Adultes Et Enfants Inadaptés Mentaux
AELE,Association européenne de libre échange
AEMO,Action éducative en milieu ouvert
AEMOA,Action Educative En Milieu Ouvert Administrative
AEN,Agence pour l'énergie nucléaire.
AEP,Agence des espaces verts
AEP,Association d’éducation populaire
AEPN,Association des écologistes pour le nucléaire.
AEPS,Action éducative périscolaire
AER,Action éducative Renforcée
AER,Agence d'évaluation de la recherche
AER,Allocation équivalent retraite
